ProjSize,TotalFilesProj,AverageBytes/s,Deadline,CompilationTime,Diff
1514,1,1158.252391458401,0.294,1.3071417,0.0
7372,2,2534.9331387849647,12.054,2.1982762,0.0
2615,2,1919.3458530222322,1.06,2.4867277999999997,40.04309807706844
31719,5,4449.521872439156,6.177,7.1286311,0.0
33515,3,4346.855488760094,6.527,7.7101712,0.0
2138,1,3958.6988575207024,3.496,1.4239265,0.0
1498,1,3747.1051517778255,2.449,1.633842,0.0
39437,3,4781.251636462641,20.935,4.66155,1.0116609161023906
6888,2,4450.196931565128,1.548,2.3403359999999997,1.2509796217215046
144,1,4340.31820334995,0.598,0.3621319,1.4090751804377308
9753,5,3213.051935748235,2.707,4.5885347,1.5393261106390448
2491,2,3924.108019599888,0.897,2.0514143000000002,8.051784587530282
22613,8,3198.078638301497,5.817,9.1049194,1.403125961512332
11732,1,3563.787256291389,4.758,1.480029,0.20055283953653052
34963,4,3750.746330494593,14.18,7.3242882,0.0
27449,4,4111.823430640454,7.889,5.9722312,0.02921165864046932
18697,3,3824.0245500800715,6.424,3.586982,0.08351610877937136
5843,2,3867.811517092908,1.951,2.8594796000000002,3.1616867119501086
2032,1,3631.3868180956583,0.54,1.765054,1.8115203264313844
177,1,3593.0452179990702,0.735,0.3105912,0.0
38385,3,4262.555335556943,11.967,6.4528335,0.029366648727074052
48163,4,5500.054416883274,23.913,2.5633651,0.0
160,1,4134.369186807991,0.665,0.8978385,22.393429908553998
20472,2,3705.3463789614093,6.772,4.773350300000001,0.18949350962445444
64993,2,5683.97365159831,19.761,3.6352522,0.03360992012195759
5472,2,5523.787996818254,1.971,1.9256400999999999,6.975734792052183
13052,7,4718.080330000138,4.668,7.0429082,0.7393853416912302
47550,5,4354.649892827611,17.131,6.5097847,0.0
7343,3,5160.514877908985,2.11,3.8281957999999996,6.4503190877416365
28756,3,5294.783138516557,9.602,4.4674659,0.6371769709575976
55242,5,5035.828694272422,18.446,7.6682329,0.0
1638,2,4680.664589147651,0.813,1.7737308999999999,6.0082089927443265
10620,4,5200.444141391858,5.273,3.9859608,1.9812579698719617
5310,4,4742.184839067226,1.899,3.5380338999999994,2.000354876830509
4006,5,5202.021616510422,1.432,3.4934801999999996,9.97777463347406
10511,2,2704.135124533642,3.021,3.8870099000000002,0.0
17230,2,4345.896868008226,4.952,3.9646592000000003,0.0
7051,3,1477.6164267860865,2.026,4.7718744,0.0
1498,1,2167.312402679389,2.449,1.6539541,2.097957931116439
2138,1,1474.5568891557823,3.496,1.4598282,5.586656260030305
7372,2,3752.874796365889,12.054,2.5908486,0.0
27847,3,4276.918451067883,13.227,3.777895,0.2807647761985531
22806,3,2887.0898806258942,16.82,4.850390900000001,0.882466068977948
44433,3,8670.298716987323,22.061,1.4027207000000002,0.0
160,1,8033.178170191949,0.665,0.790947,18.321251480938173
35224,7,4220.259629136484,10.439,7.6203973,1.5346668489459958
9094,4,2640.79282270443,4.515,4.477249,2.425546228731522
5125,2,6650.460028017107,0.729,2.956316,0.34029228464527
177,1,2597.458397092473,0.735,0.3277262,20.042641119350776
4860,3,3795.691369815056,1.75,2.8660495,4.363355052369727
8654,3,2616.148421394975,3.29,3.1944175000000006,3.138780652286799
6894,3,3557.4650984742916,3.422,3.0791142000000002,1.7428028467700236
144,1,3506.892519919611,0.598,0.3312261,14.695437026165587
270,1,2447.9711389323998,0.115,1.4212065,0.638177043269231
4562,1,3524.643949557275,1.324,1.1913097,0.2191816172893728
80633,2,8819.643886546322,18.869,5.8297823,0.0
2917,5,3056.1325813077874,1.043,4.2724831,0.2472356525865396
6760,5,7359.040577419647,2.417,4.7489391,0.0
12691,6,2314.7001048541,5.108,6.6632455,0.14241805798916082
9388,3,6626.066944158264,3.134,4.0769631,0.0
5977,3,2205.4220720253925,2.558,4.0562033,0.2943318094013679
2615,2,6196.806074920142,1.06,2.3702144,0.0
74476,4,4452.892903661954,24.869,8.596083,0.0
20797,3,2528.5928630178064,9.733,4.2343376,0.11795388159455948
13746,3,6093.781064895905,3.56,2.7713042000000003,0.0
7108,3,2589.6361086742177,2.833,3.431723,0.5269145124074051
25898,2,4600.2693526014355,10.504,4.5240218,0.0
14748,4,5896.744715243016,2.658,4.8203683,0.6123732696602395
75665,3,5867.067575175005,19.598,6.139968700000001,0.0
43384,1,-43384.0,21.54,0.0,0.0
8518,4,1982.8872962058367,4.229,4.295756,0.0
8519,5,1468.5460838690651,4.229,5.8009756,0.0
30595,1,22010.48276055767,5.958,4.3610803,0.0
18413,2,4107.803429334814,11.815,2.2603026,1.589501921131027
59464,1,21969.866759474535,5.532,2.71283,0.0
177,1,20717.635834011828,0.735,0.3756673,0.0
7664,3,3229.6015258917328,2.065,4.1557892,1.6167143320030941
160,1,3054.2715180151267,0.665,0.6672977,1.805589952959708
11732,1,3632.7236452393386,4.758,1.417589,0.0
25706,1,16245.026957653912,10.426,3.3581008,0.0
8884,1,14880.924866864114,3.177,1.4960545,0.0
17740,6,1787.1631539621765,12.118,8.8921429,2.4963748231458105
144,1,1741.4196137377885,0.598,0.4686494,6.581941913942931
49258,1,14475.716504300446,5.015,3.7192195,0.0
6700,7,2752.8065576327126,2.396,6.524274400000001,0.0
25742,1,14466.354525471066,9.274,1.7891615,0.0
11872,5,1756.1409346435782,7.638,6.6331799,0.4158725591560698
60431,1,15669.469776128632,14.141,2.5657594,0.0
47264,1,15917.832457769762,15.782,2.6668995,0.0
24372,5,2865.9906642660862,10.475,7.7408377999999995,2.5685247318642497
16584,1,15041.314057696458,4.766,2.3872016,0.0
6784,8,1574.278483005283,3.914,6.827052999999999,0.5923395296351359
17334,1,3169.1187798229107,6.245,2.8811774,0.417695734148151
4832,2,1594.3815847754124,3.88,2.6697555,1.7162323825497625
20202,1,3490.57468258084,6.546,3.0300564,0.34855991814244547
23547,1,3835.756589153896,7.862,3.1715488,0.0
47673,9,12330.126968303532,5.012,9.2385629,0.0
38423,1,12476.624981139003,9.952,2.6842462,0.0
8950,3,3704.7486701459097,2.572,3.6939706,1.4784769568659952
6628,1,12098.176828650538,10.837,1.6850804,0.0
19030,8,1642.2210893144863,14.183,11.2898942,0.8784485664710671
33205,1,4143.587612244099,9.849,3.7943619,0.0421885140931413
2138,1,4132.696011581191,3.496,1.0897341,1.5637360472542947
24891,7,1978.1661158488369,17.312,6.6566287,1.3510022761049907
2242,2,1840.454944568757,3.666,1.9055071,3.1344549029047672
